Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request - Home,1100,789,9,2072,542.62,0.00%,409.22619,849.62,59.15,2126
HTTP Request - Cadastrar,1100,92,13,169,24.26,0.00%,401.16703,107.34,94.81,274
HTTP Request - login,1100,77,24,135,18.15,0.00%,397.83002,825.96,73.82,2126
HTTP Request - CriarDisciplina,1100,93,29,157,24.41,0.00%,396.3964,106.07,186.97,274
HTTP Request - CriarAtividade,1100,88,32,170,21.2,0.00%,397.68619,106.41,141.37,274
HTTP Request - ListarDisciplina,1100,89,26,159,26.47,0.00%,409.5309,109.58,71.99,274
HTTP Request - ListarAtividades,1100,86,19,146,26.08,0.00%,424.38272,113.56,74.18,274
HTTP Request - BuscarAtividade,1100,83,9,145,27.74,0.00%,439.64828,117.64,91.02,274
HTTP Request - BuscarDisciplina,1100,78,3,140,27.39,0.00%,459.86622,123.05,88.02,274
TOTAL,9900,164,3,2072,286.66,0.00%,3399.72527,2276.07,809.35,685.6
